freq 24 and up ,collocate ,有對有錯,有對有錯error type,,有對有錯error type,freq
每 [1]{項} 入選 的 [2]{計畫},1,,,,,
因此 泰國 經濟 與 社會 發展局 提出 一 [1]{項} 五年 發展 [2]{計畫},1,,,,,
不 合格 的 六 [1]{項} 查核 項目 包括 用 過 核 燃料 中期 貯存 [2]{計畫} 設置 期程 違反 環境 影響 評估 的 審查 結論,0,,未選緊鄰NP,,,
東協 也 預料 可能 和 美國 簽署 一 [1]{項} 五 年 [2]{計畫},1,,,,,
"16,3726,個,星期,0.014170443639159203,0.009527882561087608,Nf,Na",1,,,,,
申請 時間 約 三 [1]{個} [2]{星期},1,,,,,
往往 只 能 排到 兩 [1]{個} [2]{星期} 的 檔期,1,,,,,
比 原定 的 七月 底 延長 兩 [1]{個} [2]{星期},1,,,,,
在 過去 三 [1]{個} [2]{星期},1,,,,,
中國 國家 主席 胡錦濤 訪問 美國 前 幾 [1]{個} [2]{星期},1,,,,,
"17,3705,篇,文章,0.01870124414563179,0.012427669018507004,Nf,Na",1,,,,,
也 考慮到 如果 公佈 少數 幾 [1]{篇} 好 [2]{文章},1,,,,,
這 [1]{篇} [2]{文章} 說,1,,,,,
這 [1]{篇} [2]{文章} 明顯 闡述 了 台灣 是 全球 經濟 不可或缺 的 一角,1,,,,,
這 [1]{篇} [2]{文章} 發布 後,1,,,,,
當地 主要 網站 大河網 昨天 刊出 一 [1]{篇} [2]{文章},1,,,,,
"18,3667,封,信,0.022621242329478264,0.01919272355735302,Nf,Na",1,,,,,
南韓 可口可樂 網站 收到 一 [1]{封} 勒索 [2]{信},1,,,,,
而 這 [1]{封} [2]{信} 的 重要 意義,1,,,,,
這 [1]{封} [2]{信} 呼應 他 在 十八 日 公開 要求,1,,,,,
不過 這 [1]{封} 厚達 十 頁 的 [2]{信} 裡 絕口不提 鈾 濃縮 計畫,1,,,,,
對 這 [1]{封} 二十日 收到 的 [2]{信},1,,,,,
"19,3663,塊,土地,0.013962401077151299,0.016404608264565468,Nf,Na",1,,,,,
帶領 讀者 認識 先人 在 這 [1]{塊} [2]{土地} 的 生活 風貌,1,,,,,
這 [1]{塊} [2]{土地} 是 由 齊魯 公司 在 一九五五年 十一月 二十一日,1,,,,,
兩 [1]{塊} [2]{土地} 加 起來 不 到 二百五十萬 元,1,,,,,
縣府 已經 將 三峽 地區 一 [1]{塊} 二點八 公頃 的 [2]{土地},1,,,,,
但是 他 也 因為 空中 攝影 開始 認識 台灣 這 [1]{塊} [2]{土地},1,,,,,
"20,3655,家,業者,0.008788819424808025,0.008133405819535255,Nf,Na",1,,,,,
不過 各 [1]{家} [2]{業者} 比 排場 也 比 聲音 大小,1,,,,,
台南市 四十八 [1]{家} 家教 補習 [2]{業者} 將 提供 五百一十四 個 名額,1,,,,,
每 [1]{家} [2]{業者} 只 能 申請 兩 個 班次,1,,,,,
陽明山 等 四 [1]{家} 系統 [2]{業者} 對於 頻道 收視 不良 情形,1,,,,,
另 一 [1]{家} 不 願 具名 的 電爐 [2]{業者} 表示,1,,,,,
"21,3495,名,婦女,0.014608672820031643,0.009658011607825756,Nf,Na",1,,,,,
一 [1]{名} 中國 [2]{婦女} 在 醫院 因 輸血 感染 愛滋病,1,,,,,
就 在 此 時 一 [1]{名} [2]{婦女} 因為 必須 與 她 的 行李 分開,1,,,,,
一 [1]{名} [2]{婦女} 在 北京 陶然 亭 公園 南門 護城河 北岸 遭 搶,1,,,,,
這 [1]{名} [2]{婦女} 前方 一 位 老先生 聽到 呼救 後,1,,,,,
轉身 朝 這 [1]{名} [2]{婦女} 走來,1,,,,,
"22,3421,句,話,0.019529219716787338,0.01905377209186554,Nf,Na",1,,,,,
希望 楊振寧 與 翁帆 能夠 說 幾 [1]{句} [2]{話},1,,,,,
她 說 多 年 以前 看過 一 [1]{句} [2]{話},1,,,,,
他 收回 戰 到 最後 一 分 一 秒 這 [1]{句} [2]{話},1,,,,,
他 收回 戰 到 最後 一 分 一 秒 這 [1]{句} [2]{話},1,,,,,
厭惡 在 一 [1]{句} [2]{話} 中 同時 提到 樂觀 和 北韓 兩 個 字眼,1,,,,,
"23,3262,件,事情,0.015293692238628864,0.010401212610304356,Nf,Na",1,,,,,
花蓮 地院 認為 這 [1]{件} [2]{事情} 應 以 嚴肅 的 態度 處理,1,,,,,
已 跟 蘇揆 報告 這 [1]{件} [2]{事情},1,,,,,
不 清楚 這 [1]{件} [2]{事情},1,,,,,
是 一 [1]{件} 非常 快樂 的 [2]{事情},1,,,,,
中國 學習 其它 國家 的 經驗 是 很 重要 的 一 [1]{件} [2]{事情},1,,,,,
"24,3209,段,時間,0.015238117426633835,0.01760437898337841,Nf,Na",1,,,,,
在 失眠 的 那 [1]{段} [2]{時間} 要 找 醫師 幫忙 瞭解,1,,,,,
至於 那 [1]{段} [2]{時間},1,,,,,
前 [1]{段} [2]{時間} 羅馬 教廷 就 馬英林 主教 任命 一 事 曾 提出 嚴厲 譴責,1,,,,,
以色列 空軍 在 十二 日 至 二十 日 這 [1]{段} [2]{時間},1,,,,,
這 [1]{段} [2]{時間},1,,,,,
"25,3179,支,隊伍,0.013242471031844616,0.00975724309682846,Nf,Na",1,,,,,
我們 有 一 [1]{支} 還 在 成長 中 的 年輕 [2]{隊伍},1,,,,,
克林斯曼 在 兩 年 內 建立 了 一 [1]{支} 年輕 和 充滿 活力 的 [2]{隊伍},1,,,,,
總計 有 二十五 [1]{支} [2]{隊伍},1,,,,,
以及 可以 進入 八月 初 決賽 的 二十四 [1]{支} [2]{隊伍},1,,,,,
上述 中區 第一 高手 的 兩 [1]{支} [2]{隊伍},1,,,,,
"26,2959,棟,大樓,0.020168425515294075,0.015079331584274769,Nf,Na",1,,,,,
一定 會 抽空 去 感受 一下 這 [1]{棟} [2]{大樓} 的 魅力,1,,,,,
因為 整 [1]{棟} [2]{大樓} 閒置 已 久,1,,,,,
而 所有 災 後 五 [1]{棟} [2]{大樓} 重建 工程 可望 在 二零一二年 全部 完成,1,,,,,
並 租屋 住 在 鼓山區 一 [1]{棟} [2]{大樓},1,,,,,
城 內 一 [1]{棟} 真主黨 宗教 中心 所在 的 [2]{大樓} 遭 擊中,1,,,,,
"27,2889,名,女子,0.014381556771695614,0.007991604506969452,Nf,Na",1,,,,,
這 兩 [1]{名} [2]{女子} 又 在 機場 國際 班機 值機 櫃台 附近,1,,,,,
也 確實 與 多 [1]{名} [2]{女子} 有染,1,,,,,
這 [1]{名} [2]{女子} 竟然 遭到 怪物 追殺,1,,,,,
仍 被 兩 [1]{名} [2]{女子} 在 碼頭 邊 發現,1,,,,,
其中 一 [1]{名} [2]{女子} 接受 媒體 訪問 說,1,,,,,
"28,2884,項,計劃,0.011502193287014961,0.008093043230473995,Nf,Na",1,,,,,
中國 國家 漢語 辦公室 和 美國 大學 理事會 十九日 在 紐約 簽署 了 一 [1]{項} 關於 中國 語言 與 文化 項目 的 五 年 合作 [2]{計劃},1,,,,,
彼 特 是 為 他 所 參與 的 一 [1]{項} 新 建材 宣傳 [2]{計劃},1,,,,,
泰國 將 擬定 一 [1]{項} 緊急 [2]{計劃},1,,,,,
挪威 體育科 學院 的 安德森 擔任 該 [1]{項} [2]{計劃} 的 主持人,1,,,,,
當時 他 公布 一 [1]{項} 鼓勵 [2]{計劃},1,,,,,
"29,2653,輛,汽車,0.015574930235743523,0.013613235205411911,Nf,Na",1,,,,,
攻擊 一 [1]{輛} 載有 三 名 哈 瑪斯 武裝 份子 的 [2]{汽車},1,,,,,
一 [1]{輛} [2]{汽車} 晚上 加滿 油 比 白天 加滿 油 可以 多 跑 幾十 公里,1,,,,,
槍手 分 乘數 [1]{輛} [2]{汽車},1,,,,,
擊中 一 [1]{輛} [2]{汽車},1,,,,,
吹毀 五十 [1]{輛} [2]{汽車} 和數 間 房屋,1,,,,,
"30,2545,部,電影,0.021817969158291817,0.014352519996464252,Nf,Na",1,,,,,
也 很 難 預測 這 [1]{部} [2]{電影} 會不會 因為 某些 鏡頭 被 禁演,1,,,,,
駐 泰國 台北 經濟 文化 辦事處 特別 精選 了 六 [1]{部} 台灣 [2]{電影},1,,,,,
這 項 為期 一 週 的 電影節 共有 二十六 [1]{部} [2]{電影} 與 二十六 部 短片 參展,1,,,,,
這 [1]{部} [2]{電影} 所以 狂銷,1,,,,,
讓 整 [1]{部} [2]{電影} 不斷 高潮迭起,1,,,,,
"31,2510,面,金牌,0.016341840848326683,0.011691167950630188,Nf,Na",1,,,,,
台中縣 在 去年 全 中運 角力 項目 拿下 二十二 [1]{面} [2]{金牌},1,,,,,
來回 之間 相差 十二 [1]{面} [2]{金牌},1,,,,,
為 中華 台北 代表團 拿下 本 屆 第一 [1]{面} [2]{金牌},1,,,,,
獲得 五 [1]{面} [2]{金牌},1,,,,,
台灣隊 獲得 的 六 [1]{面} [2]{金牌},1,,,,,
"32,2357,起,事件,0.015351158566772938,0.00889598298817873,Nf,Na",1,,,,,
他 相信 整 [1]{起} [2]{事件} 民眾 會 看 得 很 清楚,1,,,,,
聯合國 秘書長 安南 將 就 這 [1]{起} 聯合國 人員 傷亡 [2]{事件} 發表 一 項 聲明,1,,,,,
我們 譴責 這 [1]{起} 轟炸 聯合國 駐 黎巴嫩 過渡 部隊 據點 的 [2]{事件},1,,,,,
使 整 [1]{起} [2]{事件} 再 成為 社會 焦點,1,,,,,
對 整 [1]{起} [2]{事件} 發展 看 不 下去,1,,,,,
"33,2247,艘,漁船,0.015158742666244507,0.01152027864009142,Nf,Na",1,,,,,
並 稱 遭 暴力 攻擊 且 被 三 [1]{艘} 中國 [2]{漁船} 包圍 求償,1,,,,,
有 一 [1]{艘} 載四 男 五 女 的 中國 [2]{漁船} 拒檢 蛇行 逃逸,1,,,,,
美國 海岸 防衛隊 在 太平洋 加 拉巴 戈斯 群島 附近 攔截 到 一 [1]{艘} 哥倫比亞 [2]{漁船},1,,,,,
美國 海岸 防衛隊 發現 這 [1]{艘} [2]{漁船} 拖拉 著 一 艘 鋼製 的 潛水箱,1,,,,,
每年 將 有 八千 [1]{艘} [2]{漁船} 除役,1,,,,,
"34,2212,件,案件,0.015189211815595627,0.01219263393431902,Nf,Na",1,,,,,
美國 軍方 調查 另外 兩 [1]{件} 殺害 伊拉克 平民 的 [2]{案件} 正 接近 尾聲,1,,,,,
已 協助 處理 近 百 [1]{件} 未 上市 上櫃 公司 股票 拍賣 [2]{案件},1,,,,,
兩 年 來 共 受理 三千多 [1]{件} 申請 [2]{案件},1,,,,,
每 月 平均 有 二百二十 [1]{件} 的 申請 [2]{案件},1,,,,,
這 [1]{件} [2]{案件} 顯示 情報 工作 的 功效,1,,,,,
"35,2203,輛,車,0.015088326297700405,0.011266319081187248,Nf,Na",1,,,,,
他 又 刷卡 買 了 三 [1]{輛} [2]{車},1,,,,,
因為 第一 [1]{輛} [2]{車} 性能 太 差,1,,,,,
隨後 對方 兩 [1]{輛} [2]{車} 逃逸,1,,,,,
兩 [1]{輛} [2]{車} 凌晨 一時 許 抵達 觀音山 風景區,1,,,,,
警方 發現 竊嫌 先 在 台中市 西屯區 黎明路 與 光明 路口 竊得 一 [1]{輛} 曳引 [2]{車},1,,,,,
"36,2164,筆,錢,0.013595263473689556,0.01340539287775755,Nf,Na",1,,,,,
並 表示 願 將 這 [1]{筆} [2]{錢} 還給 國家,1,,,,,
這 [1]{筆} [2]{錢} 往往 變成 綁樁 工具,1,,,,,
但 這 [1]{筆} [2]{錢} 的 來源 為何,1,,,,,
因此 將 用 這 [1]{筆} [2]{錢} 來 進行 援助,1,,,,,
不 排除 未來 以 這 [1]{筆} [2]{錢} 做為 跨國 訴訟 之 用,1,,,,,
"37,2100,張,專輯,0.018665852025151253,0.01169129740446806,Nf,Na",1,,,,,
蜜西艾莉特 自己 則 共 推出 六 [1]{張} [2]{專輯},1,,,,,
隔 了 一 年 半 終於 要 發行 第四 [1]{張} 全新 [2]{專輯},1,,,,,
這 [1]{張} [2]{專輯} 於 披頭四 解散 後,1,,,,,
成為 該 團 最後 一 [1]{張} [2]{專輯},1,,,,,
希望 未來 有 機會 可以 出 一 [1]{張} 自己 全 創作 的 [2]{專輯},1,,,,,
"38,2088,份,文件,0.01719030924141407,0.010608663782477379,Nf,Na",1,,,,,
一 [1]{份} 規範 中國 房地產 市場 外資 准入 和 管理 的 [2]{文件},1,,,,,
這 [1]{份} [2]{文件} 一旦 正式 實施,1,,,,,
這 [1]{份} [2]{文件} 公布 後,1,,,,,
這 [1]{份} [2]{文件} 並未 要求 停火,1,,,,,
六 國 大使 明天 下午 將 對 十 個 非 常任 理事國 提出 一 [1]{份} [2]{文件},1,,,,,
"39,2040,部,影片,0.019429881125688553,0.012492516078054905,Nf,Na",1,,,,,
這 [1]{部} [2]{影片} 將 請 住 在 日本,1,,,,,
並 希望 也 能 在 台灣 上演 這 [1]{部} [2]{影片},1,,,,,
這 [1]{部} [2]{影片} 描寫 一 名 男子 因 婚姻 問題 離開 父親 他 去,1,,,,,
為了 完成 這 [1]{部} 獨一無二 的 [2]{影片},1,,,,,
其他 近 五百 [1]{部} [2]{影片} 分別 來自 世界 各 地 約 五十 個 國家,1,,,,,
"40,2032,支,安打,0.01075371727347374,0.008445316925644875,Nf,Na",1,,,,,
靠 著 五 局 上 密集 的 四 [1]{支} [2]{安打} 攻下 五 分 奠定 勝基,1,,,,,
統一 在 一 局 上 靠 著 五 [1]{支} [2]{安打},1,,,,,
靠 著 三 [1]{支} [2]{安打} 扳回 兩 分,1,,,,,
以 四 [1]{支} [2]{安打} 把 領先 分數 擴大到 十二 分 的 差距,1,,,,,
以 五 [1]{支} [2]{安打} 與 獲得 三 次 四 壞球 保送,1,,,,,
"41,1944,公頃,土地,0.010876905173063278,0.0108115179464221,Nf,Na",1,,,,,
在 未來 五 年 之內 將 重新 分配 近 二千萬 [1]{公頃} 的 [2]{土地},1,,,,,
一萬六千 [1]{公頃} [2]{土地} 變成 荒蕪 之 地,1,,,,,
已 讓 三萬三千兩百 [1]{公頃} 的 [2]{土地} 成為 焦土,1,,,,,
估計 在 那里 諾 省 至少 有 三萬 [1]{公頃} [2]{土地} 被 用來 種植 古柯,1,,,,,
擁有 九萬四千 [1]{公頃} [2]{土地},1,,,,,
"42,1905,次,會議,0.012429837137460709,0.0076972441747784615,Nf,Na",1,,,,,
已經 開 過 至少 五 [1]{次} 法案 協商 [2]{會議},1,,,,,
兩 [1]{次} 國小 校長 [2]{會議},1,,,,,
雖然 只有 兩 [1]{次} [2]{會議},1,,,,,
經 四 [1]{次} [2]{會議} 密集 協商 研議,1,,,,,
曾 經歷 九 [1]{次} 專案 [2]{會議},1,,,,,
"43,1829,週年,紀念,0.015003013424575329,0.012986729852855206,Nf,Na",0,,,,,
上 週 莫斯科 舉行 二戰 結束 六十 [1]{週年} [2]{紀念} 活動,0,,,,,
今年 慶祝 一百二十 [1]{週年} [2]{紀念},0,,,,,
明天 是 香港 回歸 九 [1]{週年} [2]{紀念},0,,,,,
十 [1]{週年} [2]{紀念} 迷你 光碟,0,,,,,
麻生 太郎 將 會 參加 菲 日 建交 五十 [1]{週年} [2]{紀念} 活動,0,,,,,
"44,1823,艘,船,0.015727436169981956,0.012181109748780727,Nf,Na",1,,,,,
因為 一 [1]{艘} [2]{船} 正 經過 危險 海域,1,,,,,
民進黨 就 像 一 [1]{艘} [2]{船},1,,,,,
把 整 [1]{艘} [2]{船} 帶上 支離破碎 的 命運,1,,,,,
唐納 同時 指出 今天 派出 可 容納 共 三千 人 的 三 [1]{艘} [2]{船} 進行 撤離,1,,,,,
週一 上午 將 有 三 [1]{艘} [2]{船} 載 著 一千四百 名 法國人 與 九百 名 印度人 抵達 賽普勒斯,1,,,,,
"45,1791,件,案子,0.016596971079707146,0.011913946829736233,Nf,Na",1,,,,,
一 [1]{件} [2]{案子} 就 要 被 追繳 贓款 超過 十六億 以上,1,,,,,
他 只 想 這 [1]{件} [2]{案子} 怎麼辦 起來,1,,,,,
這 [1]{件} [2]{案子} 還 沒有 要 提送 校 教評會 的 地步,1,,,,,
但 似乎 這 [1]{件} [2]{案子} 還 沒 送到 立法院,1,,,,,
這 [1]{件} [2]{案子} 目前 正在 打官司,1,,,,,
"46,1776,家,報紙,0.01290838047862053,0.005329159554094076,Nf,Na",1,,,,,
丹麥 一 [1]{家} [2]{報紙},1,,,,,
這 三 [1]{家} [2]{報紙} 關於 中國 形象 描述 大致 為,1,,,,,
他 接受 一 [1]{家} 德國 [2]{報紙} 訪問 時 表示,1,,,,,
並 和 十 [1]{家} [2]{報紙} 的 資深 記者 一起 晤談,1,,,,,
並 須 在 國內 九 [1]{家} [2]{報紙} 登報 道歉,1,,,,,
"47,1757,支,球隊,0.013686907477676868,0.010807965882122517,Nf,Na",1,,,,,
今天 與會 的 七 [1]{支} [2]{球隊} 代表,1,,,,,
有 四 [1]{支} 頂尖 [2]{球隊} 涉案,1,,,,,
這 四 [1]{支} [2]{球隊} 面臨 降級 與 扣 積分 的 處分,1,,,,,
這 [1]{支} [2]{球隊} 士氣 日益 消沉,1,,,,,
菲奧倫蒂納 與 拉齊奧 這 兩 [1]{支} 同樣 降到 乙級 的 [2]{球隊},1,,,,,
"48,1707,架,客機,0.016415420919656754,0.01191776618361473,Nf,Na",1,,,,,
才 造成 一 [1]{架} 俄羅斯 [2]{客機} 今天 在 西伯利亞 伊爾庫 次 克 的 機場 衝出 跑道,1,,,,,
第四 [1]{架} 俄羅斯 [2]{客機} 發生 嚴重 飛安 事故,1,,,,,
才 能 使 這 [1]{架} [2]{客機} 回復 原貌,1,,,,,
並 情商 借用 這 [1]{架} 高性能 [2]{客機} 借展,1,,,,,
總共 訂購 二十九 [1]{架} [2]{客機},1,,,,,
"49,1700,張,選票,0.01324098277837038,0.009869216941297054,Nf,Na",1,,,,,
陳滄江 獲得 三百八十九 [1]{張} [2]{選票},1,,,,,
任何 一 [1]{張} [2]{選票} 都 很 重要,1,,,,,
每 位 入館 者 可 獲贈 一 [1]{張} [2]{選票},1,,,,,
雖然 已 印妥 了 一千萬 [1]{張} [2]{選票},1,,,,,
有 一 個 人 塞 了 六 [1]{張} [2]{選票} 到 票匭 裡,1,,,,,
"50,1647,輛,轎車,0.0191767867654562,0.012671717442572117,Nf,Na",1,,,,,
一 [1]{輛} 從 紹興縣 返回 上虞 的 [2]{轎車},1,,,,,
高縣 社會局 與 警方 在 稽查 時 在 一 [1]{輛} [2]{轎車} 前 擋風 玻璃 的 身心 障礙 者 專用 停車位 識別證 樣式 可疑,1,,,,,
有 四 [1]{輛} [2]{轎車} 受困,1,,,,,
一 [1]{輛} 休旅車 與 一 輛 福特 [2]{轎車} 迎面 相撞,1,,,,,
共 銷出 近 八十萬 [1]{輛} [2]{轎車},1,,,,,
"51,1644,篇,論文,0.014275440946221352,0.009974721819162369,Nf,Na",1,,,,,
並 有 十 [1]{篇} [2]{論文} 於 三日 張貼 發表,1,,,,,
追風 研究 團隊 已 在 重要 相關 國際 會議 場合 發表 近 十 [1]{篇} 研究 成果 [2]{論文},1,,,,,
共有 五 [1]{篇} [2]{論文} 獲獎,1,,,,,
有 三 [1]{篇} 口頭 [2]{論文} 發表,1,,,,,
這 [1]{篇} [2]{論文} 中 指出,1,,,,,
"52,1634,輛,機車,0.017698416486382484,0.014398142695426941,Nf,Na",1,,,,,
